k,statistic,draw,value
3,median,403,0.0
3,median,404,0.0
3,median,405,0.0
3,median,406,0.0
3,median,407,0.0
3,median,408,0.0
3,median,409,0.0
3,median,410,0.0
3,median,411,0.0
3,median,412,0.0
3,median,413,0.0
3,median,414,0.0
3,median,415,0.0
3,median,416,0.0
3,median,417,0.0
3,median,418,0.0
3,median,419,0.0
3,median,420,0.0
3,median,421,0.0
3,median,422,0.0
3,median,423,0.0
3,median,424,0.0
3,median,425,0.0
3,median,426,0.0
3,median,427,0.0
3,median,428,0.0
3,median,429,0.0
3,median,430,0.0
3,median,431,0.0
3,median,432,0.0
3,median,433,0.0
3,median,434,0.0
3,median,435,0.0
3,median,436,0.0
3,median,437,0.0
3,median,438,0.0
3,median,439,0.0
3,median,440,0.0
3,median,441,0.0
3,median,442,0.0
3,median,443,0.0
3,median,444,0.0
3,median,445,0.0
3,median,446,0.0
3,median,447,0.0
3,median,448,0.0
3,median,449,0.0
3,median,450,0.0
3,median,451,0.0
3,median,452,0.0
3,median,453,0.0
3,median,454,0.0
3,median,455,0.0
3,median,456,0.0
3,median,457,0.0
3,median,458,0.0
3,median,459,0.0
3,median,460,0.0
3,median,461,0.0
3,median,462,0.0
3,median,463,0.0
3,median,464,0.0
3,median,465,0.0
3,median,466,0.0
3,median,467,0.0
3,median,468,0.0
3,median,469,0.0
3,median,470,0.0
3,median,471,0.0
3,median,472,0.0
3,median,473,0.0
3,median,474,0.0
3,median,475,0.0
3,median,476,0.0
3,median,477,0.0
3,median,478,0.0
3,median,479,0.0
3,median,480,0.0
3,median,481,0.0
3,median,482,0.0
3,median,483,0.0
3,median,484,0.0
3,median,485,0.0
3,median,486,0.0
3,median,487,0.0
3,median,488,0.0
3,median,489,0.0
3,median,490,0.0
3,median,491,0.0
3,median,492,0.0
3,median,493,0.0
3,median,494,0.0
3,median,495,0.0
3,median,496,0.0
3,median,497,0.0
3,median,498,0.0
3,median,499,0.0
3,median,500,0.0
3,median,501,0.0
3,median,502,0.0
3,median,503,0.0
3,median,504,0.0
3,median,505,0.0
3,median,506,0.0
3,median,507,0.0
3,median,508,0.0
3,median,509,0.0
3,median,510,0.0
3,median,511,0.0
3,median,512,0.0
3,median,513,0.0
3,median,514,0.0
3,median,515,0.0
3,median,516,0.0
3,median,517,0.0
3,median,518,0.0
3,median,519,0.0
3,median,520,0.0
3,median,521,0.0
3,median,522,0.0
3,median,523,0.0
3,median,524,0.0
3,median,525,0.0
3,median,526,0.0
3,median,527,0.0
3,median,528,0.0
3,median,529,0.0
3,median,530,0.0
3,median,531,0.0
3,median,532,0.0
3,median,533,0.0
3,median,534,0.0
3,median,535,0.0
3,median,536,0.0
3,median,537,0.0
3,median,538,0.0
3,median,539,0.0
3,median,540,0.0
3,median,541,0.0
3,median,542,0.0
3,median,543,0.0
3,median,544,0.0
3,median,545,0.0
3,median,546,0.0
3,median,547,0.0
3,median,548,0.0
3,median,549,0.0
3,median,550,0.0
3,median,551,0.0
3,median,552,0.0
3,median,553,0.0
3,median,554,0.0
3,median,555,0.0
3,median,556,0.0
3,median,557,0.0
3,median,558,0.0
3,median,559,0.0
3,median,560,0.0
3,median,561,0.0
3,median,562,0.0
3,median,563,0.0
3,median,564,0.0
3,median,565,0.0
3,median,566,0.0
3,median,567,0.0
3,median,568,0.0
3,median,569,0.0
3,median,570,0.0
3,median,571,0.0
3,median,572,0.0
3,median,573,0.0
3,median,574,0.0
3,median,575,0.0
3,median,576,0.0
3,median,577,0.0
3,median,578,0.0
3,median,579,0.0
3,median,580,0.0
3,median,581,0.0
3,median,582,0.0
3,median,583,0.0
3,median,584,0.0
3,median,585,0.0
3,median,586,0.0
3,median,587,0.0
3,median,588,0.0
3,median,589,0.0
3,median,590,0.0
3,median,591,0.0
3,median,592,0.0
3,median,593,0.0
3,median,594,0.0
3,median,595,0.0
3,median,596,0.0
3,median,597,0.0
3,median,598,0.0
3,median,599,0.0
3,median,600,0.0
3,median,601,0.0
3,median,602,0.0
3,median,603,0.0
3,median,604,0.0
3,median,605,0.0
3,median,606,0.0
3,median,607,0.0
3,median,608,0.0
3,median,609,0.0
3,median,610,0.0
3,median,611,0.0
3,median,612,0.0
3,median,613,0.0
3,median,614,0.0
3,median,615,0.0
3,median,616,0.0
3,median,617,0.0
3,median,618,0.0
3,median,619,0.0
3,median,620,0.0
3,median,621,0.0
3,median,622,0.0
3,median,623,0.0
3,median,624,0.0
3,median,625,0.0
3,median,626,0.0
3,median,627,0.0
3,median,628,0.0
3,median,629,0.0
3,median,630,0.0
3,median,631,0.0
3,median,632,0.0
3,median,633,0.0
3,median,634,0.0
3,median,635,0.0
3,median,636,0.0
3,median,637,0.0
3,median,638,0.0
3,median,639,0.0
3,median,640,0.0
3,median,641,0.0
3,median,642,0.0
3,median,643,0.0
3,median,644,0.0
3,median,645,0.0
3,median,646,0.0
3,median,647,0.0
3,median,648,0.0
3,median,649,0.0
3,median,650,0.0
3,median,651,0.0
3,median,652,0.0
3,median,653,0.0
3,median,654,0.0
3,median,655,0.0
3,median,656,0.0
3,median,657,0.0
3,median,658,0.0
3,median,659,0.0
3,median,660,0.0
3,median,661,0.0
3,median,662,0.0
3,median,663,0.0
3,median,664,0.0
3,median,665,0.0
3,median,666,0.0
3,median,667,0.0
3,median,668,0.0
3,median,669,0.0
3,median,670,0.0
3,median,671,0.0
3,median,672,0.0
3,median,673,0.0
3,median,674,0.0
3,median,675,0.0
3,median,676,0.0
3,median,677,0.0
3,median,678,0.0
3,median,679,0.0
3,median,680,0.0
3,median,681,0.0
3,median,682,0.0
3,median,683,0.0
3,median,684,0.0
3,median,685,0.0
3,median,686,0.0
3,median,687,0.0
3,median,688,0.0
3,median,689,0.0
3,median,690,0.0
3,median,691,0.0
3,median,692,0.0
3,median,693,0.0
3,median,694,0.0
3,median,695,0.0
3,median,696,0.0
3,median,697,0.0
3,median,698,0.0
3,median,699,0.0
3,median,700,0.0
3,median,701,0.0
3,median,702,0.0
3,median,703,0.0
3,median,704,0.0
3,median,705,0.0
3,median,706,0.0
3,median,707,0.0
3,median,708,0.0
3,median,709,0.0
3,median,710,0.0
3,median,711,0.0
3,median,712,0.0
3,median,713,0.0
3,median,714,0.0
3,median,715,0.0
3,median,716,0.0
3,median,717,0.0
3,median,718,0.0
3,median,719,0.0
3,median,720,0.0
3,median,721,0.0
3,median,722,0.0
3,median,723,0.0
3,median,724,0.0
3,median,725,0.0
3,median,726,0.0
3,median,727,0.0
3,median,728,0.0
3,median,729,0.0
3,median,730,0.0
3,median,731,0.0
3,median,732,0.0
3,median,733,0.0
3,median,734,0.0
3,median,735,0.0
3,median,736,0.0
3,median,737,0.0
3,median,738,0.0
3,median,739,0.0
3,median,740,0.0
3,median,741,0.0
3,median,742,0.0
3,median,743,0.0
3,median,744,0.0
3,median,745,0.0
3,median,746,0.0
3,median,747,0.0
3,median,748,0.0
3,median,749,0.0
3,median,750,0.0
3,median,751,0.0
3,median,752,0.0
3,median,753,0.0
3,median,754,0.0
3,median,755,0.0
3,median,756,0.0
3,median,757,0.0
3,median,758,0.0
3,median,759,0.0
3,median,760,0.0
3,median,761,0.0
3,median,762,0.0
3,median,763,0.0
3,median,764,0.0
3,median,765,0.0
3,median,766,0.0
3,median,767,0.0
3,median,768,0.0
3,median,769,0.0
3,median,770,0.0
3,median,771,0.0
3,median,772,0.0
3,median,773,0.0
3,median,774,0.0
3,median,775,0.0
3,median,776,0.0
3,median,777,0.0
3,median,778,0.0
3,median,779,0.0
3,median,780,0.0
3,median,781,0.0
3,median,782,0.0
3,median,783,0.0
3,median,784,0.0
3,median,785,0.0
3,median,786,0.0
3,median,787,0.0
3,median,788,0.0
3,median,789,0.0
3,median,790,0.0
3,median,791,0.0
3,median,792,0.0
3,median,793,0.0
3,median,794,0.0
3,median,795,0.0
3,median,796,0.0
3,median,797,0.0
3,median,798,0.0
3,median,799,0.0
3,median,800,0.0
3,median,801,0.0
3,median,802,0.0
3,median,803,0.0
3,median,804,0.0
3,median,805,0.0
3,median,806,0.0
3,median,807,0.0
3,median,808,0.0
3,median,809,0.0
3,median,810,0.0
3,median,811,0.0
3,median,812,0.0
3,median,813,0.0
3,median,814,0.0
3,median,815,0.0
3,median,816,0.0
3,median,817,0.0
3,median,818,0.0
3,median,819,0.0
3,median,820,0.0
3,median,821,0.0
3,median,822,0.0
3,median,823,0.0
3,median,824,0.0
3,median,825,0.0
3,median,826,0.0
3,median,827,0.0
3,median,828,0.0
3,median,829,0.0
3,median,830,0.0
3,median,831,0.0
3,median,832,0.0
3,median,833,0.0
3,median,834,0.0
3,median,835,0.0
3,median,836,0.0
3,median,837,0.0
3,median,838,0.0
3,median,839,0.0
3,median,840,0.0
3,median,841,0.0
3,median,842,0.0
3,median,843,0.0
3,median,844,0.0
3,median,845,0.0
3,median,846,0.0
3,median,847,0.0
3,median,848,0.0
3,median,849,0.0
3,median,850,0.0
3,median,851,0.0
3,median,852,0.0
3,median,853,0.0
3,median,854,0.0
3,median,855,0.0
3,median,856,0.0
3,median,857,0.0
3,median,858,0.0
3,median,859,0.0
3,median,860,0.0
3,median,861,0.0
3,median,862,0.0
3,median,863,0.0
3,median,864,0.0
3,median,865,0.0
3,median,866,0.0
3,median,867,0.0
3,median,868,0.0
3,median,869,0.0
3,median,870,0.0
3,median,871,0.0
3,median,872,0.0
3,median,873,0.0
3,median,874,0.0
3,median,875,0.0
3,median,876,0.0
3,median,877,0.0
3,median,878,0.0
3,median,879,0.0
3,median,880,0.0
3,median,881,0.0
3,median,882,0.0
3,median,883,0.0
3,median,884,0.0
3,median,885,0.0
3,median,886,0.0
3,median,887,0.0
3,median,888,0.0
3,median,889,0.0
3,median,890,0.0
3,median,891,0.0
3,median,892,0.0
3,median,893,0.0
3,median,894,0.0
3,median,895,0.0
3,median,896,0.0
3,median,897,0.0
3,median,898,0.0
3,median,899,0.0
3,median,900,0.0
3,median,901,0.0
3,median,902,0.0
3,median,903,0.0
3,median,904,0.0
3,median,905,0.0
3,median,906,0.0
3,median,907,0.0
3,median,908,0.0
3,median,909,0.0
3,median,910,0.0
3,median,911,0.0
3,median,912,0.0
3,median,913,0.0
3,median,914,0.0
3,median,915,0.0
3,median,916,0.0
3,median,917,0.0
3,median,918,0.0
3,median,919,0.0
3,median,920,0.0
3,median,921,0.0
3,median,922,0.0
3,median,923,0.0
3,median,924,0.0
3,median,925,0.0
3,median,926,0.0
3,median,927,0.0
3,median,928,0.0
3,median,929,0.0
3,median,930,0.0
3,median,931,0.0
3,median,932,0.0
3,median,933,0.0
3,median,934,0.0
3,median,935,0.0
3,median,936,0.0
3,median,937,0.0
3,median,938,0.0
3,median,939,0.0
3,median,940,0.0
3,median,941,0.0
3,median,942,0.0
3,median,943,0.0
3,median,944,0.0
3,median,945,0.0
3,median,946,0.0
3,median,947,0.0
3,median,948,0.0
3,median,949,0.0
3,median,950,0.0
3,median,951,0.0
3,median,952,0.0
3,median,953,0.0
3,median,954,0.0
3,median,955,0.0
3,median,956,0.0
3,median,957,0.0
3,median,958,0.0
3,median,959,0.0
3,median,960,0.0
3,median,961,0.0
3,median,962,0.0
3,median,963,0.0
3,median,964,0.0
3,median,965,0.0
3,median,966,0.0
3,median,967,0.0
3,median,968,0.0
3,median,969,0.0
3,median,970,0.0
3,median,971,0.0
3,median,972,0.0
3,median,973,0.0
3,median,974,0.0
3,median,975,0.0
3,median,976,0.0
3,median,977,0.0
3,median,978,0.0
3,median,979,0.0
3,median,980,0.0
3,median,981,0.0
3,median,982,0.0
3,median,983,0.0
3,median,984,0.0
3,median,985,0.0
3,median,986,0.0
3,median,987,0.0
3,median,988,0.0
3,median,989,0.0
3,median,990,0.0
3,median,991,0.0
3,median,992,0.0
3,median,993,0.0
3,median,994,0.0
3,median,995,0.0
3,median,996,0.0
3,median,997,0.0
3,median,998,0.0
3,median,999,0.0
3,median,1000,0.0
3,median,1001,0.0
3,median,1002,0.0
3,median,1003,0.0
3,median,1004,0.0
3,median,1005,0.0
3,median,1006,0.0
3,median,1007,0.0
3,median,1008,0.0
3,median,1009,0.0
3,median,1010,0.0
3,median,1011,0.0
3,median,1012,0.0
3,median,1013,0.0
3,median,1014,0.0
3,median,1015,0.0
3,median,1016,0.0
3,median,1017,0.0
3,median,1018,0.0
3,median,1019,0.0
3,median,1020,0.0
3,median,1021,0.0
3,median,1022,0.0
3,median,1023,0.0
3,median,1024,0.0
3,median,1025,0.0
3,median,1026,0.0
3,median,1027,0.0
3,median,1028,0.0
3,median,1029,0.0
3,median,1030,0.0
3,median,1031,0.0
3,median,1032,0.0
3,median,1033,0.0
3,median,1034,0.0
3,median,1035,0.0
3,median,1036,0.0
3,median,1037,0.0
3,median,1038,0.0
3,median,1039,0.0
3,median,1040,0.0
3,median,1041,0.0
3,median,1042,0.0
3,median,1043,0.0
3,median,1044,0.0
3,median,1045,0.0
3,median,1046,0.0
3,median,1047,0.0
3,median,1048,0.0
3,median,1049,0.0
3,median,1050,0.0
3,median,1051,0.0
3,median,1052,0.0
3,median,1053,0.0
3,median,1054,0.0
3,median,1055,0.0
3,median,1056,0.0
3,median,1057,0.0
3,median,1058,0.0
3,median,1059,0.0
3,median,1060,0.0
3,median,1061,0.0
3,median,1062,0.0
3,median,1063,0.0
3,median,1064,0.0
3,median,1065,0.0
3,median,1066,0.0
3,median,1067,0.0
3,median,1068,0.0
3,median,1069,0.0
3,median,1070,0.0
3,median,1071,0.0
3,median,1072,0.0
3,median,1073,0.0
3,median,1074,0.0
3,median,1075,0.0
3,median,1076,0.0
3,median,1077,0.0
3,median,1078,0.0
3,median,1079,0.0
3,median,1080,0.0
3,median,1081,0.0
3,median,1082,0.0
3,median,1083,0.0
3,median,1084,0.0
3,median,1085,0.0
3,median,1086,0.0
3,median,1087,0.0
3,median,1088,0.0
3,median,1089,0.0
3,median,1090,0.0
3,median,1091,0.0
3,median,1092,0.0
3,median,1093,0.0
3,median,1094,0.0
3,median,1095,0.0
3,median,1096,0.0
3,median,1097,0.0
3,median,1098,0.0
3,median,1099,0.0
3,median,1100,0.0
3,median,1101,0.0
3,median,1102,0.0
3,median,1103,0.0
3,median,1104,0.0
3,median,1105,0.0
3,median,1106,0.0
3,median,1107,0.0
3,median,1108,0.0
3,median,1109,0.0
3,median,1110,0.0
3,median,1111,0.0
3,median,1112,0.0
3,median,1113,0.0
3,median,1114,0.0
3,median,1115,0.0
3,median,1116,0.0
3,median,1117,0.0
3,median,1118,0.0
3,median,1119,0.0
3,median,1120,0.0
3,median,1121,0.0
3,median,1122,0.0
3,median,1123,0.0
3,median,1124,0.0
3,median,1125,0.0
3,median,1126,0.0
3,median,1127,0.0
3,median,1128,0.0
3,median,1129,0.0
3,median,1130,0.0
3,median,1131,0.0
3,median,1132,0.0
3,median,1133,0.0
3,median,1134,0.0
3,median,1135,0.0
3,median,1136,0.0
3,median,1137,0.0
3,median,1138,0.0
3,median,1139,0.0
3,median,1140,0.0
3,median,1141,0.0
3,median,1142,0.0
3,median,1143,0.0
3,median,1144,0.0
3,median,1145,0.0
3,median,1146,0.0
3,median,1147,0.0
3,median,1148,0.0
3,median,1149,0.0
3,median,1150,0.0
3,median,1151,0.0
3,median,1152,0.0
3,median,1153,0.0
3,median,1154,0.0
3,median,1155,0.0
3,median,1156,0.0
3,median,1157,0.0
3,median,1158,0.0
3,median,1159,0.0
3,median,1160,0.0
3,median,1161,0.0
3,median,1162,0.0
3,median,1163,0.0
3,median,1164,0.0
3,median,1165,0.0
3,median,1166,0.0
3,median,1167,0.0
3,median,1168,0.0
3,median,1169,0.0
3,median,1170,0.0
3,median,1171,0.0
3,median,1172,0.0
3,median,1173,0.0
3,median,1174,0.0
3,median,1175,0.0
3,median,1176,0.0
3,median,1177,0.0
3,median,1178,0.0
3,median,1179,0.0
3,median,1180,0.0
3,median,1181,0.0
3,median,1182,0.0
3,median,1183,0.0
3,median,1184,0.0
3,median,1185,0.0
3,median,1186,0.0
3,median,1187,0.0
3,median,1188,0.0
3,median,1189,0.0
3,median,1190,0.0
3,median,1191,0.0
3,median,1192,0.0
3,median,1193,0.0
3,median,1194,0.0
3,median,1195,0.0
3,median,1196,0.0
3,median,1197,0.0
3,median,1198,0.0
3,median,1199,0.0
3,median,1200,0.0
3,median,1201,0.0
3,median,1202,0.0
3,median,1203,0.0
3,median,1204,0.0
3,median,1205,0.0
3,median,1206,0.0
3,median,1207,0.0
3,median,1208,0.0
3,median,1209,0.0
3,median,1210,0.0
3,median,1211,0.0
3,median,1212,0.0
3,median,1213,0.0
3,median,1214,0.0
3,median,1215,0.0
3,median,1216,0.0
3,median,1217,0.0
3,median,1218,0.0
3,median,1219,0.0
3,median,1220,0.0
3,median,1221,0.0
3,median,1222,0.0
3,median,1223,0.0
3,median,1224,0.0
3,median,1225,0.0
3,median,1226,0.0
3,median,1227,0.0
3,median,1228,0.0
3,median,1229,0.0
3,median,1230,0.0
3,median,1231,0.0
3,median,1232,0.0
3,median,1233,0.0
3,median,1234,0.0
3,median,1235,0.0
3,median,1236,0.0
3,median,1237,0.0
3,median,1238,0.0
3,median,1239,0.0
3,median,1240,0.0
3,median,1241,0.0
3,median,1242,0.0
3,median,1243,0.0
3,median,1244,0.0
3,median,1245,0.0
3,median,1246,0.0
3,median,1247,0.0
3,median,1248,0.0
3,median,1249,0.0
3,median,1250,0.0
3,median,1251,0.0
3,median,1252,0.0
3,median,1253,0.0
3,median,1254,0.0
3,median,1255,0.0
3,median,1256,0.0
3,median,1257,0.0
3,median,1258,0.0
3,median,1259,0.0
3,median,1260,0.0
3,median,1261,0.0
3,median,1262,0.0
3,median,1263,0.0
3,median,1264,0.0
3,median,1265,0.0
3,median,1266,0.0
3,median,1267,0.0
3,median,1268,0.0
3,median,1269,0.0
3,median,1270,0.0
3,median,1271,0.0
3,median,1272,0.0
3,median,1273,0.0
3,median,1274,0.0
3,median,1275,0.0
3,median,1276,0.0
3,median,1277,0.0
3,median,1278,0.0
3,median,1279,0.0
3,median,1280,0.0
3,median,1281,0.0
3,median,1282,0.0
3,median,1283,0.0
3,median,1284,0.0
3,median,1285,0.0
3,median,1286,0.0
3,median,1287,0.0
3,median,1288,0.0
3,median,1289,0.0
3,median,1290,0.0
3,median,1291,0.0
3,median,1292,0.0
3,median,1293,0.0
3,median,1294,0.0
3,median,1295,0.0
3,median,1296,0.0
3,median,1297,0.0
3,median,1298,0.0
3,median,1299,0.0
3,median,1300,0.0
3,median,1301,0.0
3,median,1302,0.0
3,median,1303,0.0
3,median,1304,0.0
3,median,1305,0.0
3,median,1306,0.0
3,median,1307,0.0
3,median,1308,0.0
3,median,1309,0.0
3,median,1310,0.0
3,median,1311,0.0
3,median,1312,0.0
3,median,1313,0.0
3,median,1314,0.0
3,median,1315,0.0
3,median,1316,0.0
3,median,1317,0.0
3,median,1318,0.0
3,median,1319,0.0
3,median,1320,0.0
3,median,1321,0.0
3,median,1322,0.0
3,median,1323,0.0
3,median,1324,0.0
3,median,1325,0.0
3,median,1326,0.0
3,median,1327,0.0
3,median,1328,0.0
3,median,1329,0.0
3,median,1330,0.0
3,median,1331,0.0
3,median,1332,0.0
3,median,1333,0.0
3,median,1334,0.0
3,median,1335,0.0
3,median,1336,0.0
3,median,1337,0.0
3,median,1338,0.0
3,median,1339,0.0
3,median,1340,0.0
3,median,1341,0.0
3,median,1342,0.0
3,median,1343,0.0
3,median,1344,0.0
3,median,1345,0.0
3,median,1346,0.0
3,median,1347,0.0
3,median,1348,0.0
3,median,1349,0.0
3,median,1350,0.0
3,median,1351,0.0
3,median,1352,0.0
3,median,1353,0.0
3,median,1354,0.0
3,median,1355,0.0
3,median,1356,0.0
3,median,1357,0.0
3,median,1358,0.0
3,median,1359,0.0
3,median,1360,0.0
