leaf,item_id,field,annotator_answer,undeterminable,notes,minutes_spent
preference_seniority,1076103_000091476003000217,preference_seniority,,,,
preference_seniority,1341470_000119312509004895,preference_seniority,,,,
preference_seniority,1477449_000155837016008265,preference_seniority,,,,
preference_seniority,932699_000093269916000092,preference_seniority,,,,
preference_seniority,1092283_000119312505071414,preference_seniority,,,,
preference_seniority,1585521_000119312519083351,preference_seniority,,,,
preference_seniority,1113481_000111348114000003,preference_seniority,,,,
preference_seniority,1556898_000119312517274422,preference_seniority,,,,
preference_seniority,745788_000114420408016648,preference_seniority,,,,
preference_seniority,878720_000089843001500356,preference_seniority,,,,
preference_seniority,1123195_000112319502000020,preference_seniority,,,,
preference_stack_payout,series_a,preference_stack_payout,,,,
preference_stack_payout,series_b,preference_stack_payout,,,,
round_size,1260990,round_size,,,,
round_size,1498738,round_size,,,,
round_size,1597815,round_size,,,,
round_size,1981408,round_size,,,,
round_size,1436444,round_size,,,,
round_size,1887997,round_size,,,,
round_size,1601118,round_size,,,,
round_size,1520726,round_size,,,,
round_size,1651590,round_size,,,,
round_size,1880063,round_size,,,,
s1_use_of_proceeds,hyrecar,s1_use_of_proceeds,,,,
s1_use_of_proceeds,castlebio,s1_use_of_proceeds,,,,
s1_use_of_proceeds,axcella,s1_use_of_proceeds,,,,
s1_use_of_proceeds,veritone,s1_use_of_proceeds,,,,
s1_use_of_proceeds,civitas,s1_use_of_proceeds,,,,
safe_cap_vs_discount_applies,snm_discount_only,safe_cap_vs_discount_applies,,,,
safe_cap_vs_discount_applies,parker_both_mfn,safe_cap_vs_discount_applies,,,,
safe_cap_vs_discount_applies,sos_both_mfn,safe_cap_vs_discount_applies,,,,
safe_cap_vs_discount_applies,maison_both_mfn,safe_cap_vs_discount_applies,,,,
safe_cap_vs_discount_applies,rentberry_both_mfn,safe_cap_vs_discount_applies,,,,
safe_cap_vs_discount_applies,paxmedica_both_mfn,safe_cap_vs_discount_applies,,,,
safe_cap_vs_discount_applies,creci_both_mfn,safe_cap_vs_discount_applies,,,,
safe_cap_vs_discount_applies,complete_both_mfn,safe_cap_vs_discount_applies,,,,
safe_cap_vs_discount_applies,lomond_both_mfn,safe_cap_vs_discount_applies,,,,
safe_cap_vs_discount_applies,neo_aero_both_mfn,safe_cap_vs_discount_applies,,,,
safe_cap_vs_discount_applies,taoweave_both_mfn,safe_cap_vs_discount_applies,,,,
safe_cap_vs_discount_applies,gardedam_cap_only,safe_cap_vs_discount_applies,,,,
safe_cap_vs_discount_applies,flowhub_cap_only,safe_cap_vs_discount_applies,,,,
safe_pre_post,1821951_000121390022000982,safe_cap_type,,,,
safe_pre_post,1851491_000157587226000456,safe_cap_type,,,,
safe_pre_post,1386049_000109690621002893,safe_cap_type,,,,
safe_pre_post,1777274_000121390020033888,safe_cap_type,,,,
safe_pre_post,2084032_000121390026025748,safe_cap_type,,,,
safe_pre_post,1900520_000121390024095442,safe_cap_type,,,,
safe_pre_post,746210_000143774926019366,safe_cap_type,,,,
safe_pre_post,1811623_000110465922070160,safe_cap_type,,,,
safe_pre_post,1486452_000168316824001414,safe_cap_type,,,,
safe_pre_post,1937891_000149315226027213,safe_cap_type,,,,
safe_pre_post,2036444_000121390025123767,safe_cap_type,,,,
safe_pre_post,1657493_000121390021028831,safe_cap_type,,,,
safe_pre_post,1838987_000121390024014892,safe_cap_type,,,,
safe_pre_post,2010788_000149315224005725,safe_cap_type,,,,
safe_pre_post,837852_000110465921011524,safe_cap_type,,,,
safe_pre_post,1158780_000121390025023733,safe_cap_type,,,,
safe_valuation_cap,1657493_000121390021028831_cap,safe_valuation_cap,,,,
safe_valuation_cap,1486452_000168316824001414_cap,safe_valuation_cap,,,,
safe_valuation_cap,2036444_000121390025123767_cap,safe_valuation_cap,,,,
safe_valuation_cap,746210_000143774926019366_cap,safe_valuation_cap,,,,
safe_valuation_cap,1838987_000121390024014892_cap,safe_valuation_cap,,,,
safe_valuation_cap,1900520_000121390024095442_cap,safe_valuation_cap,,,,
safe_valuation_cap,2010788_000149315224005725_cap,safe_valuation_cap,,,,
safe_valuation_cap,1811623_000110465922070160_cap,safe_valuation_cap,,,,
securities_exemption,1102449,securities_exemption,,,,
securities_exemption,1260990,securities_exemption,,,,
securities_exemption,1444307,securities_exemption,,,,
securities_exemption,1498738,securities_exemption,,,,
securities_exemption,1597815,securities_exemption,,,,
securities_exemption,1795387,securities_exemption,,,,
securities_exemption,1804648,securities_exemption,,,,
securities_exemption,1902507,securities_exemption,,,,
securities_exemption,1947170,securities_exemption,,,,
securities_exemption,1981408,securities_exemption,,,,
vesting_schedule,1293310_000119312512306440,vesting_schedule,,,,
vesting_schedule,1452751_000119312513403444,vesting_schedule,,,,
vesting_schedule,1108271_000119312504159873,vesting_schedule,,,,
vesting_schedule,0001558370-21-008713_giii-20210628x8k,vesting_schedule,,,,
vesting_schedule,0001451809-24-000052_ex1034offerofemployment-sa,vesting_schedule,,,,
vesting_schedule,0001144204-15-053727_v419640_ex10-1,vesting_schedule,,,,
vesting_schedule,0001516513-23-000036_ex-107xcraigoverpeckofferl,vesting_schedule,,,,
vesting_schedule,0000020740-17-000006_a201610kex1012,vesting_schedule,,,,
vesting_schedule,0001104659-09-054183_a09-26145_18k,vesting_schedule,,,,
