row_id,leaf,item_id,field,answer_type,annotator_answer,undeterminable,notes,minutes_spent
R0060,safe_cap_vs_discount_applies,snm_discount_only,safe_cap_vs_discount_applies,categorical,,,,
R0061,safe_pre_post,1821951_000121390022000982,safe_cap_type,binary,,,,
R0062,securities_exemption,1498738,securities_exemption,categorical,,,,
R0063,s1_use_of_proceeds,hyrecar,s1_use_of_proceeds,multi_part,,,,
R0064,vesting_schedule,0001451809-24-000052_ex1034offerofemployment-sa,vesting_schedule,multi_part,,,,
R0065,fully_diluted_basis,hyrecar_body,fully_diluted_basis,binary,,,,
R0066,flag_internal_inconsistency,castlebio_inconsistent,flag_internal_inconsistency,binary,,,,
R0067,vesting_schedule,0001516513-23-000036_ex-107xcraigoverpeckofferl,vesting_schedule,multi_part,,,,
R0068,safe_cap_vs_discount_applies,parker_both_mfn,safe_cap_vs_discount_applies,categorical,,,,
R0069,cliff_present,0001144204-18-050119_tv502422_10k,cliff_present,binary,,,,
R0070,safe_valuation_cap,1811623_000110465922070160_cap,safe_valuation_cap,numeric,,,,
R0071,round_size,1981408,round_size,numeric,,,,
R0072,round_size,1601118,round_size,numeric,,,,
R0073,safe_valuation_cap,746210_000143774926019366_cap,safe_valuation_cap,numeric,,,,
R0074,safe_pre_post,1838987_000121390024014892,safe_cap_type,binary,,,,
R0075,preference_seniority,1477449_000155837016008265,preference_seniority,binary,,,,
R0076,preference_stack_payout,series_b,preference_stack_payout,numeric,,,,
R0077,safe_cap_vs_discount_applies,sos_both_mfn,safe_cap_vs_discount_applies,categorical,,,,
R0078,liquidation_preference_multiple,1538716_000119312519245313,liquidation_preference_multiple,categorical,,,,
R0079,cliff_present,0001104659-09-039164_a09-16464_1ex10d1,cliff_present,binary,,,,
R0080,preference_seniority,1076103_000091476003000217,preference_seniority,binary,,,,
R0081,form_d_fields,1549044_000154904412000001,form_d_field_value,numeric,,,,
R0082,vesting_schedule,1108271_000119312504159873,vesting_schedule,multi_part,,,,
R0083,round_size,1887997,round_size,numeric,,,,
R0084,preference_seniority,932699_000093269916000092,preference_seniority,binary,,,,
R0085,vesting_schedule,0001104659-09-054183_a09-26145_18k,vesting_schedule,multi_part,,,,
R0086,safe_pre_post,2084032_000121390026025748,safe_cap_type,binary,,,,
R0087,s1_use_of_proceeds,castlebio,s1_use_of_proceeds,multi_part,,,,
R0088,information_rights,0001628280-21-019876_exhibit102-sx1,information_rights,binary,,,,
R0089,investor_ownership_pct,uber_alphabet_investor,investor_ownership_pct,numeric,,,,
R0090,s1_use_of_proceeds,veritone,s1_use_of_proceeds,multi_part,,,,
R0091,flag_internal_inconsistency,castlebio_consistent,flag_internal_inconsistency,binary,,,,
R0092,preference_seniority,1585521_000119312519083351,preference_seniority,binary,,,,
R0093,information_rights,0001193125-11-204682_dex402,information_rights,binary,,,,
R0094,cliff_present,0001451809-24-000052_ex1034offerofemployment-sa,cliff_present,binary,,,,
R0095,liquidation_preference_multiple,1904616_000121390023031361,liquidation_preference_multiple,categorical,,,,
R0096,round_size,1436444,round_size,numeric,,,,
R0097,information_rights,0001193125-06-212415_dex991,information_rights,binary,,,,
R0098,safe_pre_post,2010788_000149315224005725,safe_cap_type,binary,,,,
R0099,board_seats_investor,0000950134-07-010103_d46152e8vk_mdp,board_seats_investor,numeric,,,,
R0100,safe_pre_post,1158780_000121390025023733,safe_cap_type,binary,,,,
R0101,preference_seniority,745788_000114420408016648,preference_seniority,binary,,,,
R0102,securities_exemption,1597815,securities_exemption,categorical,,,,
R0103,round_size,1520726,round_size,numeric,,,,
R0104,safe_valuation_cap,1838987_000121390024014892_cap,safe_valuation_cap,numeric,,,,
R0105,round_size,1260990,round_size,numeric,,,,
R0106,safe_valuation_cap,1900520_000121390024095442_cap,safe_valuation_cap,numeric,,,,
R0107,information_rights,0000898173-20-000007_orly-20191231ex101926dba,information_rights,binary,,,,
R0108,convert_vs_preference_decision,example4_convert,convert_vs_preference_decision,binary,,,,
R0109,safe_pre_post,1486452_000168316824001414,safe_cap_type,binary,,,,
R0110,safe_cap_vs_discount_applies,maison_both_mfn,safe_cap_vs_discount_applies,categorical,,,,
R0111,safe_pre_post,746210_000143774926019366,safe_cap_type,binary,,,,
R0112,safe_valuation_cap,1486452_000168316824001414_cap,safe_valuation_cap,numeric,,,,
R0113,vesting_schedule,1293310_000119312512306440,vesting_schedule,multi_part,,,,
R0114,cliff_present,0001503707-23-000002_ltipformfinalforedgar,cliff_present,binary,,,,
R0115,safe_valuation_cap,2036444_000121390025123767_cap,safe_valuation_cap,numeric,,,,
R0116,cliff_present,0000790816-14-000054_bdn8k-annualawards_031414,cliff_present,binary,,,,
R0117,safe_pre_post,2036444_000121390025123767,safe_cap_type,binary,,,,
R0118,information_rights,0000945841-07-000055_restrstockagreement,information_rights,binary,,,,
R0119,preference_stack_payout,series_a,preference_stack_payout,numeric,,,,
R0120,s1_use_of_proceeds,axcella,s1_use_of_proceeds,multi_part,,,,
R0121,information_rights,0001193125-15-060049_d836724dex1031,information_rights,binary,,,,
R0122,safe_pre_post,1900520_000121390024095442,safe_cap_type,binary,,,,
R0123,safe_cap_vs_discount_applies,gardedam_cap_only,safe_cap_vs_discount_applies,categorical,,,,
R0124,cliff_present,0001299933-11-000951_htm_41195,cliff_present,binary,,,,
R0125,fully_diluted_basis,ignentertainment_body,fully_diluted_basis,binary,,,,
R0126,safe_pre_post,1386049_000109690621002893,safe_cap_type,binary,,,,
R0127,cliff_present,0001104659-09-054183_a09-26145_18k,cliff_present,binary,,,,
R0128,board_seats_investor,0001193125-12-119900_d267119dex43_quantum,board_seats_investor,numeric,,,,
R0129,preference_seniority,1113481_000111348114000003,preference_seniority,binary,,,,
R0130,liquidation_preference_multiple,1283259_000149315225016953,liquidation_preference_multiple,categorical,,,,
R0131,safe_cap_vs_discount_applies,lomond_both_mfn,safe_cap_vs_discount_applies,categorical,,,,
R0132,board_seats_investor,0000950134-07-010103_d46152e8vk_mdp_old,board_seats_investor,numeric,,,,
R0133,round_size,1880063,round_size,numeric,,,,
R0134,liquidation_preference_multiple,1883085_000188308524000060,liquidation_preference_multiple,categorical,,,,
R0135,liquidation_preference_multiple,1479290_000119312514020967,liquidation_preference_multiple,categorical,,,,
R0136,safe_cap_vs_discount_applies,neo_aero_both_mfn,safe_cap_vs_discount_applies,categorical,,,,
R0137,cliff_present,0001516513-23-000036_ex-107xcraigoverpeckofferl,cliff_present,binary,,,,
R0138,preference_seniority,1556898_000119312517274422,preference_seniority,binary,,,,
R0139,information_rights,0000950123-14-010038_filename6,information_rights,binary,,,,
R0140,safe_valuation_cap,1657493_000121390021028831_cap,safe_valuation_cap,numeric,,,,
R0141,preference_seniority,1092283_000119312505071414,preference_seniority,binary,,,,
R0142,option_strike_409a,0001193125-11-194811_0p61,option_strike_409a,numeric,,,,
R0143,board_seats_investor,0001193125-12-119900_d267119dex43_tribal,board_seats_investor,numeric,,,,
R0144,fully_diluted_basis,emageon_ex,fully_diluted_basis,binary,,,,
R0145,vesting_schedule,0001144204-15-053727_v419640_ex10-1,vesting_schedule,multi_part,,,,
R0146,safe_cap_vs_discount_applies,paxmedica_both_mfn,safe_cap_vs_discount_applies,categorical,,,,
R0147,securities_exemption,1260990,securities_exemption,categorical,,,,
R0148,information_rights,0000950123-09-064388_f53797orexv4w2,information_rights,binary,,,,
R0149,cliff_present,0001558370-21-008713_giii-20210628x8k,cliff_present,binary,,,,
R0150,round_size,1498738,round_size,numeric,,,,
R0151,safe_pre_post,1811623_000110465922070160,safe_cap_type,binary,,,,
R0152,safe_pre_post,1937891_000149315226027213,safe_cap_type,binary,,,,
R0153,information_rights,0001193125-07-042724_dex101,information_rights,binary,,,,
R0154,option_strike_409a,0001125282-06-006236_1p25,option_strike_409a,numeric,,,,
