priority,block,leaf,item,field,oracle_says,models_settled,models_disagreeing,top_alternative,models_on_alternative,convergence,oracle_correct,corrected_value,notes
45,CONTROL (random),safe_pre_post,2,safe_cap_type,post-money,12,0,,0,0.000,,,
46,CONTROL (random),safe_pre_post,7,safe_cap_type,post-money,12,0,,0,0.000,,,
47,CONTROL (random),safe_cap_vs_discount_applies,5,safe_cap_vs_discount_applies,both-mfn,12,0,,0,0.000,,,
48,CONTROL (random),safe_cap_vs_discount_applies,10,safe_cap_vs_discount_applies,both-mfn,11,0,,0,0.000,,,
49,CONTROL (random),safe_valuation_cap,3,safe_valuation_cap,40000000.0,12,0,,0,0.000,,,
50,CONTROL (random),preference_stack_payout,0,preference_stack_payout,58.9,10,0,,0,0.000,,,
51,CONTROL (random),cliff_present,3,cliff_present,yes,12,0,,0,0.000,,,
52,CONTROL (random),vesting_schedule,0,vesting_schedule,4yr/1yr-cliff,12,0,,0,0.000,,,
53,CONTROL (random),option_strike_409a,2,option_strike_409a,0.61,11,0,,0,0.000,,,
54,CONTROL (random),preference_seniority,1,preference_seniority,stacked,12,0,,0,0.000,,,
55,CONTROL (random),round_size,2,round_size,3728926.0,12,0,,0,0.000,,,
